code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300523,辰安科技,软件服务,北京,2711.06,1.0,1.44,114180.32,96789.85,12613.92,40365.45,2.8,0.011000000000000001,5.42,7.46,20160726,22047.11,1.53,14.3,-68.01,54.85,0.64,11864.0
600811,东方集团,综合类,黑龙江,25.58,32.73,37.15,5125591.5,3189459.0,228116.05,880967.5,2.37,0.16,5.33,0.84,19940106,512059.44,1.38,43.35,-6.86,3.09,9.57,90352.0
750,国海证券,证券,广西,25.35,42.16,42.16,6862083.0,0.0,16227.98,627598.13,1.49,0.133,3.31,1.36,19970709,169659.95,0.4,-22.56,-42.66,0.0,25.3,159701.0
300310,宜通世纪,通信设备,广东,37.64,5.82,8.94,416835.69,212190.5,24491.92,204555.02,2.29,0.19,3.96,2.27,20120425,53454.86,0.6,29.96,17.75,23.43,9.57,35762.0
600546,山煤国际,煤炭开采,山西,36.46,19.82,19.82,4508977.0,2130040.0,1035460.88,274653.06,1.39,0.09300000000000001,2.42,1.87,20030731,-44199.82,-0.22,2.16,137.06,9.49,0.48,66023.0
600210,紫江企业,广告包装,上海,7.72,15.17,15.17,1035414.31,479400.06,342207.59,37790.59,0.25,0.441,2.9,1.57,19990824,201849.66,1.33,1.88,171.66,19.86,10.01,127686.0
600054,黄山旅游,旅游景点,安徽,22.33,5.13,7.47,517670.94,220995.92,170027.02,34454.62,0.46,0.45799999999999996,5.64,2.42,19970506,204021.38,2.73,6.7,4.97,52.17,25.98,38030.0
600662,强生控股,公共交通,上海,77.79,10.53,10.53,601131.0,210631.45,195908.81,76639.43,0.73,0.044000000000000004,3.04,1.5,19930614,93895.47,0.89,-10.98,-64.76,11.62,1.6,98155.0
2326,永太科技,化工原料,浙江,20.08,5.38,8.22,597725.5,243204.88,132903.5,101108.38,1.23,0.341,3.36,2.71,20091222,89681.13,1.09,44.54,128.16,26.38,14.81,74028.0
581,威孚高科,汽车配件,江苏,9.3,8.36,10.09,1887584.25,1106550.13,242709.95,341784.13,3.39,1.837,14.0,1.63,19980924,909396.38,9.01,34.19,41.54,22.3,28.25,59542.0
600340,华夏幸福,区域地产,河北,13.06,29.55,29.55,33648380.0,31025324.0,279688.56,465047.19,1.57,2.02,9.12,4.03,20031230,1819656.38,6.16,21.21,35.3,56.43,20.16,128168.0
603298,杭叉集团,专用机械,浙江,17.32,1.71,6.19,506154.59,400425.63,56532.71,95966.43,1.55,0.601,5.48,2.53,20161227,157105.16,2.54,31.79,18.93,20.87,7.2,35874.0
603585,苏利股份,化工原料,江苏,18.83,0.45,1.5,195135.81,140225.81,32102.8,72029.06,4.8,1.11,9.71,2.87,20161214,52886.76,3.53,6.25,27.65,36.86,15.64,14498.0
2036,联创电子,元器件,浙江,38.85,3.95,5.58,460662.81,247694.97,106826.6,47667.21,0.85,0.26,3.1,4.49,20040903,63062.76,1.13,128.59,12.99,11.29,4.15,28151.0
600593,大连圣亚,旅游服务,辽宁,25.12,0.92,0.92,131770.06,36783.1,20198.81,19775.53,2.15,0.973,5.14,6.35,20020711,16035.25,1.74,13.69,29.31,67.76,29.31,9168.0
601515,东风股份,广告包装,广东,15.03,11.12,11.12,546918.31,257281.84,123154.88,7085.11,0.06,0.465,3.34,2.79,20120216,210106.41,1.89,23.74,14.93,42.01,24.35,15532.0
